직무,기업,제목,주소,기술스택
서버/백엔드 개발자,에이치투오호스피탈리티,[H2O KOREA] 예약사업부 개발팀 백엔드 개발자 모집,서울 강남구,"Java
· Spring
· PHP
· Python
· MySQL
· JavaScript
· Docker"
서버/백엔드 개발자,아이페이지온,리눅스 서버 개발자(신입),서울 강남구,"C
· C++
· Linux
· Network"
서버/백엔드 개발자,인베스티,[바운더리] 경력직 Java 백엔드 개발자 모집,서울 용산구,"Java
· Spring Boot
· Spring Data JPA
· Spring
· Spring MVC
· AWS
· REST API"
서버/백엔드 개발자,인텔리어스,AI 서비스 백엔드 개발자,경기 광명시,"Python
· FastAPI
· Django
· MariaDB
· DeepLearning"
서버/백엔드 개발자,인텍에프에이,웹 백엔드 작업 및 API 개발,경기 용인시,"Java
· C
· C++
· Python
· SW"
서버/백엔드 개발자,코드넛,신입/경력 개발자 모집(백엔드/프론트엔드),서울 강남구,"MariaDB
· MySQL
· Oracle
· Node.js
· TypeScript
· NestJS
· HTML5
· CSS 3"
서버/백엔드 개발자,포지큐브,"AI Data Engineer (LLM, 신입 및 1년 이상)",서울 강남구,"Python
· Flask
· Gunicorn
· Django
· AZURE
· GCP"
서버/백엔드 개발자,에듀템,JAVA 스프링부트 개발자,서울 마포구,"Spring Boot
· Spring MVC
· MySQL
· MSSQL
· SQL
· Mybatis
· Java"
서버/백엔드 개발자,컨트롤웍스,[신입/경력] Linux 시스템 엔지니어,서울 강남구,"C++
· Linux
· C
· Python
· Yocto"
서버/백엔드 개발자,컨트롤웍스,[신입/경력] 서버 네트워크 엔지니어 (전문연 가능),서울 강남구,"C++
· C
· Network
· TCP/IP
· Linux"
프론트엔드 개발자,아이오트러스트,[IoTrust] 디센트 프론트엔드 개발,서울 강남구,"Node.js
· Vue.js
· Webpack
· Babel
· Slack
· Git
· Visual Studio Code
· HTML5"
프론트엔드 개발자,메라키플레이스,Frontend developer (3년 미만),서울 서초구,"TypeScript
· Next.js
· React
· Vercel
· React Native
· CodePush
· fastlane"
프론트엔드 개발자,데브툴즈,프론트엔드 개발자,경기 안양시,"HTML5
· CSS 3
· JavaScript
· ES6
· Vue.js
· React
· Angular 2
· TypeScript"
프론트엔드 개발자,제이앤피메디,[JNPMEDI] 프론트엔드 개발자 신입 모집,인천 연수구,"React
· JSX
· Sass
· GitHub Actions"
프론트엔드 개발자,넛지헬스케어,[병역특례] 프론트엔드 개발 산업기능요원 모집,서울 강남구,"JavaScript
· HTML5
· React
· REST API
· SQL
· GraphQL
· Java
· CSS 3"
프론트엔드 개발자,씨케이스택,"WEB 프론트엔드 개발자 (웹대시보드, 웹관리자)",경기 성남시,"React
· jQuery
· Vue.js
· Swift
· Kotlin"
프론트엔드 개발자,페이타랩,"[패스오더] 웹 프론트엔드 개발자 (JavaScript, React) (병역특례/산업기능요원/보충역/전직)",서울 강남구,"JavaScript
· Jenkins
· Docker
· AWS
· AngularJS
· NGINX
· Sass
· Zeplin
· React"
프론트엔드 개발자,에이블제이,신규 웹서비스 Front-end 개발자 (1 - 2년),"서울 강남구, 경기 성남시","React
· Vue.js
· JavaScript
· TypeScript
· HTML5
· CSS 3
· Webpack"
프론트엔드 개발자,린온컴퍼니,[서포티] Frontend 개발(신입/경력),서울 강남구,"React
· React.js Boilerplate
· Redux
· JavaScript
· HTML5
· CSS 3
· React Native"
프론트엔드 개발자,에이치에너지,모햇 서비스 프론트엔드 개발,서울 강남구,"JavaScript
· CSS 3
· HTML5
· MySQL
· Vue.js"
프론트엔드 개발자,파토스,Flutter Front-end 개발자,서울 구로구,"Flutter
· Dart
· Node.js
· REST API
· Docker
· Git
· android os
· ios"
